effect_size,derivative,SAFE_family,vars_required,cloud_filtering_rules,special_warnings,default_safe_family,calc_type,formula,label,exec_formula,lower_filter,upper_filter,paired_design,reference,escalc_name,must_use_SAFE,equations_used,n_versions,default
reciprocal,first,1_normal,"n, x, sd","","","",point_estimate,yi_first <- 1 / x,yi_first,yi_first <- 1 / input$x,"","",FALSE,"","",no,"",1,yes
lnRoM,first,2_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0,lnRoM cannot accept x1 or x2 ≤ 0.,"",point_estimate,yi_first <- log(x1 / x2),yi_first,yi_first <- log(input$x1 / input$x2),"x1=0, x2=0","x1=Inf, x2=Inf",FALSE,"",ROM,no,"",2,no
lnRoM,second,2_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0,lnRoM cannot accept x1 or x2 ≤ 0.,"",point_estimate,yi_second <- log(x1 / x2) + 0.5 * (sd1^2/(n1 * x1^2) - sd2^2/(n2 * x2^2)),yi_second,yi_second <- log(input$x1 / input$x2) + 0.5 * (input$sd1^2/(input$n1 * input$x1^2) - input$sd2^2/(input$n2 * input$x2^2)),"x1=0, x2=0","x1=Inf, x2=Inf",FALSE,"",ROM,no,"",2,yes
SMD,first,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,yi_first <- (x1 - x2) / sqrt( ((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2) ),yi_first,yi_first <- (input$x1 - input$x2) / sqrt( ((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2) ),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,"",SMD,no,"",2,no
SMD,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,"J <- ifelse((n1 + n2 - 2) <= 1, NA_real_, exp(lgamma((n1 + n2 - 2)/2) - log(sqrt((n1 + n2 - 2)/2)) - lgamma(((n1 + n2 - 2) - 1)/2))); yi_second <- J * ((x1 - x2) / sqrt( ((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2) ) )",yi_second,"J <- ifelse((input$n1 + input$n2 - 2) <= 1, NA_real_, exp(lgamma((input$n1 + input$n2 - 2)/2) - log(sqrt((input$n1 + input$n2 - 2)/2)) - lgamma(((input$n1 + input$n2 - 2) - 1)/2))); yi_second <- J * ((input$x1 - input$x2) / sqrt( ((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2) ) )","x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,"",SMD,no,"",2,yes
SMD,first,4_multivariate_normal,"x1, x2, sd1, sd2, r, n",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,yi_first <- (x1 - x2) / sqrt( ((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2) ),yi_first,yi_first <- (input$x1 - input$x2) / sqrt( ((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2) ),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,"",SMD,no,"",2,no
SMD,second,4_multivariate_normal,"x1, x2, sd1, sd2, r, n",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,yi_second <- (1 - 3 / (4 * (2*n - 2) - 1) ) * ((x1 - x2) / sqrt( ((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2) ) ),yi_second,yi_second <- (1 - 3 / (4 * (2*input$n - 2) - 1) ) * ((input$x1 - input$x2) / sqrt( ((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2) ) ),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,"",SMD,no,"",2,yes
SMD,first,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,yi_first <- (x1 - x2) / sqrt( ((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2) ),yi_first,yi_first <- (input$x1 - input$x2) / sqrt( ((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2) ),"x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",FALSE,"",SMD,no,"",2,no
SMD,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,"J <- ifelse((n1 + n2 - 2) <= 1, NA_real_, exp(lgamma((n1 + n2 - 2)/2) - log(sqrt((n1 + n2 - 2)/2)) - lgamma(((n1 + n2 - 2) - 1)/2))); yi_second <- J * ((x1 - x2) / sqrt( ((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2) ) )",yi_second,"J <- ifelse((input$n1 + input$n2 - 2) <= 1, NA_real_, exp(lgamma((input$n1 + input$n2 - 2)/2) - log(sqrt((input$n1 + input$n2 - 2)/2)) - lgamma(((input$n1 + input$n2 - 2) - 1)/2))); yi_second <- J * ((input$x1 - input$x2) / sqrt( ((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2) ) )","x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",FALSE,"",SMD,no,"",2,yes
SMD,first,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, r, n","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,yi_first <- (x1 - x2) / sqrt( ((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2) ),yi_first,yi_first <- (input$x1 - input$x2) / sqrt( ((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2) ),"","",TRUE,"",SMD,no,"",2,no
SMD,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, r, n","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,yi_second <- (1 - 3 / (4 * (2*n - 2) - 1) ) * ((x1 - x2) / sqrt( ((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2) ) ),yi_second,yi_second <- (1 - 3 / (4 * (2*input$n - 2) - 1) ) * ((input$x1 - input$x2) / sqrt( ((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2) ) ),"","",TRUE,"",SMD,no,"",2,yes
lnRoM,first,2_multivariate_normal,"x1, x2, sd1, sd2, r, n",x1 > 0 & x2 > 0,lnRoM cannot accept x1 or x2 ≤ 0.,"",point_estimate,yi_first <- log(x1 / x2),yi_first,yi_first <- log(input$x1 / input$x2),"x1=0, x2=0","x1=Inf, x2=Inf",TRUE,"",ROM,no,"",1,no
lnOR,first,4_binomial,"a, b, c, d","","If any group (a, b, c, d) is 0, lnOR will be incalculable. If this is the case with your data, add 0.5 to all groups and rerun.",yes,point_estimate,yi_first <- log(((a) * (d)) / ((b) * (c))),yi_first,yi_first <- log(((input$a) * (input$d)) / ((input$b) * (input$c))),"","",FALSE,"",OR,no,"",1,yes
lnRR,first,2_binomial,"a, c, n1, n2","","If any group (a, c) is 0, lnRR will be incalculable. If this is the case with your data, add 0.5 to all groups and rerun.",yes,point_estimate,yi_first <- log( ((a) / n1) / ((c)/ n2) ),yi_first,yi_first <- log( ((input$a) / input$n1) / ((input$c)/ input$n2) ),"","",FALSE,"",RR,no,"",1,yes
lnCVR,first,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0 & v1 > 0 & v2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,yi_first <- log(sd1 / x1) - log(sd2 / x2),yi_first,yi_first <- log(input$sd1 / input$x1) - log(input$sd2 / input$x2),"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,no
lnCVR,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0 & v1 > 0 & v2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,yi_second <- log((sd1 / x1) / (sd2 / x2)) + 1/2 * (1 / (n1 - 1) - 1 / (n2 - 1)) + 1/2 * ((sd2^2/(n2 * x2^2)) - (sd1^2 / (n1 * x1^2))),yi_second,yi_second <- log((input$sd1 / input$x1) / (input$sd2 / input$x2)) + 1/2 * (1 / (input$n1 - 1) - 1 / (input$n2 - 1)) + 1/2 * ((input$sd2^2/(input$n2 * input$x2^2)) - (input$sd1^2 / (input$n1 * input$x1^2))),"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,yes
lnCVR,first,4_multivariate_normal,"x1, x2, sd1, sd2, r, n",x1 > 0 & x2 > 0 & v1 > 0 & v2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,yi_first <- log(sd1 / x1) - log(sd2 / x2),yi_first,yi_first <- log(input$sd1 / input$x1) - log(input$sd2 / input$x2),"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,no
lnCVR,second,4_multivariate_normal,"x1, x2, sd1, sd2, r, n",x1 > 0 & x2 > 0 & v1 > 0 & v2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,yi_second <- log((sd1 / x1) / (sd2 / x2)) + 1/2 * (1 / (n - 1) - 1 / (n - 1)) + 1/2 * ((sd2^2/(n * x2^2)) - (sd1^2 / (n * x1^2))),yi_second,yi_second <- log((input$sd1 / input$x1) / (input$sd2 / input$x2)) + 1/2 * (1 / (input$n - 1) - 1 / (input$n - 1)) + 1/2 * ((input$sd2^2/(input$n * input$x2^2)) - (input$sd1^2 / (input$n * input$x1^2))),"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,yes
lnCVR,first,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,yi_first <- log(sd1 / x1) - log(sd2 / x2),yi_first,yi_first <- log(input$sd1 / input$x1) - log(input$sd2 / input$x2),"x1=Inf, x2=Inf","x1=Inf, x2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,no
lnCVR,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,yi_second <- log((sd1 / x1) / (sd2 / x2)) + 1/2 * (1 / (n1 - 1) - 1 / (n2 - 1)) + 1/2 * ((sd2^2/(n2 * x2^2)) - (sd1^2 / (n1 * x1^2))),yi_second,yi_second <- log((input$sd1 / input$x1) / (input$sd2 / input$x2)) + 1/2 * (1 / (input$n1 - 1) - 1 / (input$n2 - 1)) + 1/2 * ((input$sd2^2/(input$n2 * input$x2^2)) - (input$sd1^2 / (input$n1 * input$x1^2))),"x1=Inf, x2=Inf","x1=Inf, x2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,yes
lnCVR,first,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, r, n",x1 > 0 & x2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,yi_first <- log(sd1 / x1) - log(sd2 / x2),yi_first,yi_first <- log(input$sd1 / input$x1) - log(input$sd2 / input$x2),"x1=Inf, x2=Inf","",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,no
lnCVR,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, r, n",x1 > 0 & x2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,yi_second <- log((sd1 / x1) / (sd2 / x2)) + 1/2 * (1 / (n - 1) - 1 / (n - 1)) + 1/2 * ((sd2^2/(n * x2^2)) - (sd1^2 / (n * x1^2))),yi_second,yi_second <- log((input$sd1 / input$x1) / (input$sd2 / input$x2)) + 1/2 * (1 / (input$n - 1) - 1 / (input$n - 1)) + 1/2 * ((input$sd2^2/(input$n * input$x2^2)) - (input$sd1^2 / (input$n * input$x1^2))),"x1=Inf, x2=Inf","",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,yes
lnHWE_A,first,3_multinomial,"n_AA, n_Aa, n_aa","","Cannot accept values of 0 for n_AA, n_Aa, or n_aa","",point_estimate,yi_first <- log((n_Aa/(n_AA + n_Aa + n_aa)) / (2*sqrt((n_AA/(n_AA + n_Aa + n_aa)) * (n_aa/(n_AA + n_Aa + n_aa))))),yi_first,yi_first <- log((input$n_Aa/(input$n_AA + input$n_Aa + input$n_aa)) / (2*sqrt((input$n_AA/(input$n_AA + input$n_Aa + input$n_aa)) * (input$n_aa/(input$n_AA + input$n_Aa + input$n_aa))))),"","",FALSE,"",none,no,"",1,yes
lnM,first,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,Results are only reliable with SAFE method,"",point_estimate,yi_first <- log(sqrt(((((n1 * n2) / (n1 + n2)) * (x1 - x2)^2) - (((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2))) / ((2 * n1 * n2) / (n1 + n2)))) - log(sqrt((((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2)))),yi_first,yi_first <- log(sqrt(((((input$n1 * input$n2) / (input$n1 + input$n2)) * (input$x1 - input$x2)^2) - (((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2))) / ((2 * input$n1 * input$n2) / (input$n1 + input$n2)))) - log(sqrt((((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2)))),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,"",none,yes,"",1,yes
lnM,first,4_multivariate_normal,"x1, x2, sd1, sd2, n, r",v1 > 0 & v2 > 0,Results are only reliable with SAFE method,"",point_estimate,yi_first <- log(sqrt(((((n^2) / (2*n)) * (x1 - x2)^2) - (((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2))) / ((2 * n^2) / (2*n)))) - log(sqrt((((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2)))),yi_first,yi_first <- log(sqrt(((((input$n^2) / (2*input$n)) * (input$x1 - input$x2)^2) - (((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2))) / ((2 * input$n^2) / (2*input$n)))) - log(sqrt((((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2)))),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,"",none,yes,"",1,yes
reciprocal,first,1_normal,"n, x, sd","","","",sampling_variance,vi_first <- (sd^2 / n) * (-1 * x ^ -2)^2,vi_first,vi_first <- (input$sd^2 / input$n) * (-1 * input$x ^ -2)^2,"","",FALSE,"","",no,"",1,yes
lnRoM,first,2_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0,lnRoM cannot accept x1 or x2 ≤ 0.,"",sampling_variance,vi_first <- sd1^2 / (n1 * x1^2) + sd2^2 / (n2 * x2^2),vi_first,vi_first <- input$sd1^2 / (input$n1 * input$x1^2) + input$sd2^2 / (input$n2 * input$x2^2),"x1=0, x2=0","x1=Inf, x2=Inf",FALSE,"",ROM,no,"",2,no
lnRoM,second,2_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0,lnRoM cannot accept x1 or x2 ≤ 0.,"",sampling_variance,vi_second <- sd1^2 / (n1 * x1^2) + sd2^2 / (n2 * x2^2) + 0.5 * ( (sd1^4 / (n1^2 * x1^4)) + (sd2^4 / (n2^2 * x2^4))),vi_second,vi_second <- input$sd1^2 / (input$n1 * input$x1^2) + input$sd2^2 / (input$n2 * input$x2^2) + 0.5 * ( (input$sd1^4 / (input$n1^2 * input$x1^4)) + (input$sd2^4 / (input$n2^2 * input$x2^4))),"x1=0, x2=0","x1=Inf, x2=Inf",FALSE,"",ROM,no,"",2,yes
SMD,first,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,sampling_variance,vi_first <- ((n1 + n2) / (n1 * n2)) + ((x1 - x2) / sqrt( ((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2) ))^2 / (2 * (n1 + n2 - 2)),vi_first,vi_first <- ((input$n1 + input$n2) / (input$n1 * input$n2)) + ((input$x1 - input$x2) / sqrt( ((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2) ))^2 / (2 * (input$n1 + input$n2 - 2)),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,"",SMD,no,"",2,yes
SMD,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,sampling_variance,vi_second <- J^2 * ((n1 + n2) / (n1 * n2)) + ((x1 - x2) / sqrt( ((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2) ))^2 / (2 * (n1 + n2 - 2)),vi_second,vi_second <- J^2 * ((input$n1 + input$n2) / (input$n1 * input$n2)) + ((input$x1 - input$x2) / sqrt( ((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2) ))^2 / (2 * (input$n1 + input$n2 - 2)),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,"",SMD,no,"",2,no
SMD,first,4_multivariate_normal,"x1, x2, sd1, sd2, r, n",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,sampling_variance,d <- (x1 - x2) / sqrt( ((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2) ); vi_first <- (2*(1-r))/n + d^2 / (2*(n-1)),vi_first,d <- (input$x1 - input$x2) / sqrt( ((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2) ); vi_first <- (2*(1-input$r))/input$n + d^2 / (2*(input$n-1)),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,"",SMD,no,"",2,yes
