effect_size,derivative,SAFE_family,vars_required,cloud_filtering_rules,special_warnings,default_safe_family,calc_type,formula,label,exec_formula,lower_filter,upper_filter,paired_design,reference,escalc_name,must_use_SAFE,equations_used,n_versions,default
lnVR,first,2_multivariate_normal,"sd1, sd2, n1, n2",sd1 > 0 & sd2 > 0,"",yes,sampling_variance,vi_first <- (1/2) * (1/(n1-1) + 1/(n2-1)),vi_first,vi_first <- (1/2) * (1/(input$n1-1) + 1/(input$n2-1)),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,no
lnVR,first,2_multivariate_normal,"sd1, sd2, n, r",sd1 > 0 & sd2 > 0,"",yes,sampling_variance,vi_first <- (1/2) * (1/(n-1) + 1/(n-1)) - (r^2 * sqrt(1/(n-1)) * sqrt(1/(n-1))),vi_first,vi_first <- (1/2) * (1/(input$n-1) + 1/(input$n-1)) - (input$r^2 * sqrt(1/(input$n-1)) * sqrt(1/(input$n-1))),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,no
lnVR,second,2_multivariate_normal,"sd1, sd2, n1, n2",sd1 > 0 & sd2 > 0,"",yes,sampling_variance,vi_second <- (1/2) * ( (n1/((n1-1)^2)) + (n2/((n2-1)^2)) ),vi_second,vi_second <- (1/2) * ( (input$n1/((input$n1-1)^2)) + (input$n2/((input$n2-1)^2)) ),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,yes
lnVR,second,2_multivariate_normal,"sd1, sd2, n, r",sd1 > 0 & sd2 > 0,"",yes,sampling_variance,vi_second <- (1/2) * (1/(n-1) + 1/(n-1)) - (r^2 * sqrt(1/(n-1)) * sqrt(1/(n-1))) + (1/2) * ((1/(n-1)^2) + (1/(n-1)^2)) + r^4 * (sd1^8 + sd2^8) / (2 * (n-1) * (n-1) * sd1^4 * sd2^4),vi_second,vi_second <- (1/2) * (1/(input$n-1) + 1/(input$n-1)) - (input$r^2 * sqrt(1/(input$n-1)) * sqrt(1/(input$n-1))) + (1/2) * ((1/(input$n-1)^2) + (1/(input$n-1)^2)) + input$r^4 * (input$sd1^8 + input$sd2^8) / (2 * (input$n-1) * (input$n-1) * input$sd1^4 * input$sd2^4),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,yes
SMDH,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,"J <- ifelse((n1+n2-2) <= 1, NA_real_, exp(lgamma((n1+n2-2)/2) - log(sqrt((n1+n2-2)/2)) - lgamma(((n1+n2-2) - 1)/2))); d <- (x1 - x2) / sqrt( (sd1^2 + sd2^2) / 2 ); yi_second <- J * d",yi_second,"J <- ifelse((input$n1+input$n2-2) <= 1, NA_real_, exp(lgamma((input$n1+input$n2-2)/2) - log(sqrt((input$n1+input$n2-2)/2)) - lgamma(((input$n1+input$n2-2) - 1)/2))); d <- (input$x1 - input$x2) / sqrt( (input$sd1^2 + input$sd2^2) / 2 ); yi_second <- J * d","x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Bonett 2009 Psychological Methods 14(3): 225-238,SMDH,no,"",1,yes
SMDH,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,"J <- ifelse((n1+n2-2) <= 1, NA_real_, exp(lgamma((n1+n2-2)/2) - log(sqrt((n1+n2-2)/2)) - lgamma(((n1+n2-2) - 1)/2))); d <- (x1 - x2) / sqrt( (sd1^2 + sd2^2) / 2 ); yi_second <- J * d",yi_second,"J <- ifelse((input$n1+input$n2-2) <= 1, NA_real_, exp(lgamma((input$n1+input$n2-2)/2) - log(sqrt((input$n1+input$n2-2)/2)) - lgamma(((input$n1+input$n2-2) - 1)/2))); d <- (input$x1 - input$x2) / sqrt( (input$sd1^2 + input$sd2^2) / 2 ); yi_second <- J * d","x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",FALSE,Bonett 2009 Psychological Methods 14(3): 225-238,SMDH,no,"",1,yes
SMDH,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,sampling_variance,"J <- ifelse((n1+n2-2) <= 1, NA_real_, exp(lgamma((n1+n2-2)/2) - log(sqrt((n1+n2-2)/2)) - lgamma(((n1+n2-2) - 1)/2))); d <- (x1 - x2) / sqrt( (sd1^2 + sd2^2) / 2 ); g <- J * d; sdpi <- sqrt((sd1^2 + sd2^2)/2); vi_second <- g^2 * (sd1^4/(n1 - 1) + sd2^4/(n2 - 1))/(8 * sdpi^4) + (sd1^2/(n1 - 1) + sd2^2/(n2 - 1))/sdpi^2",vi_second,"J <- ifelse((input$n1+input$n2-2) <= 1, NA_real_, exp(lgamma((input$n1+input$n2-2)/2) - log(sqrt((input$n1+input$n2-2)/2)) - lgamma(((input$n1+input$n2-2) - 1)/2))); d <- (input$x1 - input$x2) / sqrt( (input$sd1^2 + input$sd2^2) / 2 ); g <- J * d; sdpi <- sqrt((input$sd1^2 + input$sd2^2)/2); vi_second <- g^2 * (input$sd1^4/(input$n1 - 1) + input$sd2^4/(input$n2 - 1))/(8 * sdpi^4) + (input$sd1^2/(input$n1 - 1) + input$sd2^2/(input$n2 - 1))/sdpi^2","x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Bonett 2009 Psychological Methods 14(3): 225-238,SMDH,no,"",1,yes
SMDH,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,sampling_variance,"J <- ifelse((n1+n2-2) <= 1, NA_real_, exp(lgamma((n1+n2-2)/2) - log(sqrt((n1+n2-2)/2)) - lgamma(((n1+n2-2) - 1)/2))); d <- (x1 - x2) / sqrt( (sd1^2 + sd2^2) / 2 ); g <- J * d; sdpi <- sqrt((sd1^2 + sd2^2)/2); vi_second <- g^2 * (sd1^4/(n1 - 1) + sd2^4/(n2 - 1))/(8 * sdpi^4) + (sd1^2/(n1 - 1) + sd2^2/(n2 - 1))/sdpi^2",vi_second,"J <- ifelse((input$n1+input$n2-2) <= 1, NA_real_, exp(lgamma((input$n1+input$n2-2)/2) - log(sqrt((input$n1+input$n2-2)/2)) - lgamma(((input$n1+input$n2-2) - 1)/2))); d <- (input$x1 - input$x2) / sqrt( (input$sd1^2 + input$sd2^2) / 2 ); g <- J * d; sdpi <- sqrt((input$sd1^2 + input$sd2^2)/2); vi_second <- g^2 * (input$sd1^4/(input$n1 - 1) + input$sd2^4/(input$n2 - 1))/(8 * sdpi^4) + (input$sd1^2/(input$n1 - 1) + input$sd2^2/(input$n2 - 1))/sdpi^2","x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",FALSE,Bonett 2009 Psychological Methods 14(3): 225-238,SMDH,no,"",1,yes
Zr,?,"","r, n","",Zr is one of the safest effect sizes there is :),"",point_estimate,r[r>1] <- 1; r[r < -1] <- -1; yi_first <- atanh(r),yi,input$r[input$r>1] <- 1; input$r[input$r < -1] <- -1; yi_first <- atanh(input$r),"","",FALSE,"",ZCOR,no,"",1,yes
Zr,?,"","r, n","",Zr is one of the safest effect sizes there is :),"",sampling_variance,vi_first <- 1/(n - 3),vi,vi_first <- 1/(input$n - 3),"","",FALSE,"",ZCOR,no,"",1,yes
pre_post_SMD_option1,second,8_multivariate_normal,"x1_a, x1_b, x2_a, x2_b, sd1_a, sd2_a, n, r",pre_v1 > 0 & pre_v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart.
This formulation only uses pre SD and calculates variance with SAFE. To use post SD and pre SD, use pre_post_SMD_option2",no,point_estimate,"sd_pooled <- sqrt( ((n - 1) * sd1_a^2 + (n - 1) * sd2_a^2) / (2*n - 2) ); cp <- ifelse((2*n - 2) <= 1, NA_real_, exp(lgamma((2*n - 2)/2) - log(sqrt((2*n - 2)/2)) - lgamma(((2*n - 2) - 1)/2))); yi_second <- (cp) * ( ((x1_b-x1_a) - (x2_b - x2_a)) / sd_pooled )",yi_second,"sd_pooled <- sqrt( ((input$n - 1) * input$sd1_a^2 + (input$n - 1) * input$sd2_a^2) / (2*input$n - 2) ); cp <- ifelse((2*input$n - 2) <= 1, NA_real_, exp(lgamma((2*input$n - 2)/2) - log(sqrt((2*input$n - 2)/2)) - lgamma(((2*input$n - 2) - 1)/2))); yi_second <- (cp) * ( ((input$x1_b-input$x1_a) - (input$x2_b - input$x2_a)) / sd_pooled )","x1_a=-Inf, x2_a=-Inf, x1_b=-Inf, x2_b=-Inf","x1_a=Inf, x2_a=Inf, x1_b=Inf, x2_b=Inf",TRUE,Eq. 8-10 in Morris 2008 Organizational Research Methods 11(2): 364-386,none,yes,Eq. 8-10,1,yes
pre_post_SMD_option1,second,8_multivariate_normal_wishart,"x1_a, x1_b, x2_a, x2_b, sd1_a, sd2_a, n, r",pre_v1 > 0 & pre_v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart.
This formulation only uses pre SD and calculates variance with SAFE. To use post SD and pre SD, use pre_post_SMD_option2",yes,point_estimate,"sd_pooled <- sqrt( ((n - 1) * sd1_a^2 + (n - 1) * sd2_a^2) / (2*n - 2) ); cp <- ifelse((2*n - 2) <= 1, NA_real_, exp(lgamma((2*n - 2)/2) - log(sqrt((2*n - 2)/2)) - lgamma(((2*n - 2) - 1)/2))); yi_second <- (cp) * ( ((x1_b-x1_a) - (x2_b - x2_a)) / sd_pooled )",yi_second,"sd_pooled <- sqrt( ((input$n - 1) * input$sd1_a^2 + (input$n - 1) * input$sd2_a^2) / (2*input$n - 2) ); cp <- ifelse((2*input$n - 2) <= 1, NA_real_, exp(lgamma((2*input$n - 2)/2) - log(sqrt((2*input$n - 2)/2)) - lgamma(((2*input$n - 2) - 1)/2))); yi_second <- (cp) * ( ((input$x1_b-input$x1_a) - (input$x2_b - input$x2_a)) / sd_pooled )","x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",TRUE,Eq. 8-10 in Morris 2008 Organizational Research Methods 11(2): 364-386,none,yes,Eq. 8-10,1,yes
pre_post_SMD_option2,second,8_multivariate_normal,"x1_a, x1_b, x2_a, x2_b, sd1_a, sd1_b, sd2_a, sd2_b, n, r",pre_v1 > 0 & pre_v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart.
This formulation only uses pre and post SD and calculates variance with SAFE. To only use pre SD, use pre_post_SMD_option1",no,point_estimate,sd_pooled <- sqrt( ( (n - 1) * sd2_a^2 + (n - 1) * sd1_a^2 + (n - 1) * sd2_b^2 + (n - 1) * sd1_b^2 ) / (2 * (2*n - 2)) ); cpp <- 1 - 3 / ( 4*(2*n + 2*n - 4) - 1 ); yi_second <- (cpp) * ( ((x1_b-x1_a) - (x2_b - x2_a)) / sd_pooled ),yi_second,sd_pooled <- sqrt( ( (input$n - 1) * input$sd2_a^2 + (input$n - 1) * input$sd1_a^2 + (input$n - 1) * input$sd2_b^2 + (input$n - 1) * input$sd1_b^2 ) / (2 * (2*input$n - 2)) ); cpp <- 1 - 3 / ( 4*(2*input$n + 2*input$n - 4) - 1 ); yi_second <- (cpp) * ( ((input$x1_b-input$x1_a) - (input$x2_b - input$x2_a)) / sd_pooled ),"x1_a=-Inf, x2_a=-Inf, x1_b=-Inf, x2_b=-Inf","x1_a=Inf, x2_a=Inf, x1_b=Inf, x2_b=Inf",TRUE,Morris 2008 Organizational Research Methods 11(2): 364-386,none,yes,Eq 12-14,1,yes
pre_post_SMD_option2,second,8_multivariate_normal_wishart,"x1_a, x1_b, x2_a, x2_b, sd1_a, sd1_b, sd2_a, sd2_b, n, r",pre_v1 > 0 & pre_v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart.
This formulation only uses pre and post SD and calculates variance with SAFE. To only use pre SD, use pre_post_SMD_option1",yes,point_estimate,sd_pooled <- sqrt( ( (n - 1) * sd2_a^2 + (n - 1) * sd1_a^2 + (n - 1) * sd2_b^2 + (n - 1) * sd1_b^2 ) / (2 * (2*n - 2)) ); cpp <- 1 - 3 / ( 4*(2*n + 2*n - 4) - 1 ); yi_second <- (cpp) * ( ((x1_b-x1_a) - (x2_b - x2_a)) / sd_pooled ),yi_second,sd_pooled <- sqrt( ( (input$n - 1) * input$sd2_a^2 + (input$n - 1) * input$sd1_a^2 + (input$n - 1) * input$sd2_b^2 + (input$n - 1) * input$sd1_b^2 ) / (2 * (2*input$n - 2)) ); cpp <- 1 - 3 / ( 4*(2*input$n + 2*input$n - 4) - 1 ); yi_second <- (cpp) * ( ((input$x1_b-input$x1_a) - (input$x2_b - input$x2_a)) / sd_pooled ),"x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",TRUE,Morris 2008 Organizational Research Methods 11(2): 364-386,none,yes,Eq 12-14,1,yes
Z_mean,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,IRIS can use normal distribution or Wishart to do SAFE modelling. Defaults to Wishart unless specified,no,point_estimate,cv2_1 <- (sd1 / x1)^2; cv2_2 <- (sd2 / x2)^2; li_1 <- log1p(cv2_1); li_2 <- log1p(cv2_2); sd_2_ln_1 <- li_1 - (li_1^2 / (2 * (n1 - 1))) + ((li_1 * (li_1 + 2)) / n1) * cv2_1; sd_2_ln_2 <- li_2 - (li_2^2 / (2 * (n2 - 1))) + ((li_2 * (li_2 + 2)) / n2) * cv2_2; log_mean_1 <- log(x1) - 0.5*sd_2_ln_1 + 1/(2*n1) * sd_2_ln_1; log_mean_2 <- log(x2) - 0.5*sd_2_ln_2 + 1/(2*n2) * sd_2_ln_2; S_ln <- sqrt((sd_2_ln_1 + sd_2_ln_2)/2) ; yi_second <- (log_mean_1 - log_mean_2) / S_ln,yi_second,cv2_1 <- (input$sd1 / input$x1)^2; cv2_2 <- (input$sd2 / input$x2)^2; li_1 <- log1p(cv2_1); li_2 <- log1p(cv2_2); sd_2_ln_1 <- li_1 - (li_1^2 / (2 * (input$n1 - 1))) + ((li_1 * (li_1 + 2)) / input$n1) * cv2_1; sd_2_ln_2 <- li_2 - (li_2^2 / (2 * (input$n2 - 1))) + ((li_2 * (li_2 + 2)) / input$n2) * cv2_2; log_mean_1 <- log(input$x1) - 0.5*sd_2_ln_1 + 1/(2*input$n1) * sd_2_ln_1; log_mean_2 <- log(input$x2) - 0.5*sd_2_ln_2 + 1/(2*input$n2) * sd_2_ln_2; S_ln <- sqrt((sd_2_ln_1 + sd_2_ln_2)/2) ; yi_second <- (log_mean_1 - log_mean_2) / S_ln,"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Nakagawa 2026 In Submission,none,"","",1,yes
Z_SD,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,IRIS can use normal distribution or Wishart to do SAFE modelling. Defaults to Wishart unless specified,no,point_estimate,cv2_1 <- (sd1 / x1)^2; cv2_2 <- (sd2 / x2)^2; li_1 <- log1p(cv2_1); li_2 <- log1p(cv2_2); sd_2_ln_1 <- li_1 - (li_1^2 / (2 * (n1 - 1))) + ((li_1 * (li_1 + 2)) / n1) * (x1 / sd1)^2; sd_2_ln_2 <- li_2 - (li_2^2 / (2 * (n2 - 1))) + ((li_2 * (li_2 + 2)) / n2) * (x2 / sd2)^2; sdln_1 <- sqrt(sd_2_ln_1); sdln_2 <- sqrt(sd_2_ln_2); S_ln <- sqrt((sd_2_ln_1 + sd_2_ln_2)/2) ; yi_second <- (sdln_1 - sdln_2) / S_ln,yi_second,cv2_1 <- (input$sd1 / input$x1)^2; cv2_2 <- (input$sd2 / input$x2)^2; li_1 <- log1p(cv2_1); li_2 <- log1p(cv2_2); sd_2_ln_1 <- li_1 - (li_1^2 / (2 * (input$n1 - 1))) + ((li_1 * (li_1 + 2)) / input$n1) * (input$x1 / input$sd1)^2; sd_2_ln_2 <- li_2 - (li_2^2 / (2 * (input$n2 - 1))) + ((li_2 * (li_2 + 2)) / input$n2) * (input$x2 / input$sd2)^2; sdln_1 <- sqrt(sd_2_ln_1); sdln_2 <- sqrt(sd_2_ln_2); S_ln <- sqrt((sd_2_ln_1 + sd_2_ln_2)/2) ; yi_second <- (sdln_1 - sdln_2) / S_ln,"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Nakagawa 2026 In Submission,none,"","",1,yes
Z_mean,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,IRIS can use normal distribution or Wishart to do SAFE modelling. Defaults to Wishart unless specified,no,sampling_variance,cv2_1 <- (sd1 / x1)^2; cv2_2 <- (sd2 / x2)^2; li_1 <- log1p(cv2_1); li_2 <- log1p(cv2_2); sd_2_ln_1 <- li_1 - (li_1^2 / (2 * (n1 - 1))) + ((li_1 * (li_1 + 2)) / n1) * cv2_1; sd_2_ln_2 <- li_2 - (li_2^2 / (2 * (n2 - 1))) + ((li_2 * (li_2 + 2)) / n2) * cv2_2; log_mean_1 <- log(x1) - 0.5*sd_2_ln_1 + 1/(2*n1) * sd_2_ln_1; log_mean_2 <- log(x2) - 0.5*sd_2_ln_2 + 1/(2*n2) * sd_2_ln_2; S_ln <- sqrt((sd_2_ln_1 + sd_2_ln_2)/2) ; vi_second <- (1 / S_ln^2) * ((sd_2_ln_1 / n1) + (sd_2_ln_2 / n2)) + ((log_mean_1 - log_mean_2)^2 / (8 * S_ln^6)) * ((sd_2_ln_1^2 / n1) + (sd_2_ln_2^2 / n2)),vi_second,cv2_1 <- (input$sd1 / input$x1)^2; cv2_2 <- (input$sd2 / input$x2)^2; li_1 <- log1p(cv2_1); li_2 <- log1p(cv2_2); sd_2_ln_1 <- li_1 - (li_1^2 / (2 * (input$n1 - 1))) + ((li_1 * (li_1 + 2)) / input$n1) * cv2_1; sd_2_ln_2 <- li_2 - (li_2^2 / (2 * (input$n2 - 1))) + ((li_2 * (li_2 + 2)) / input$n2) * cv2_2; log_mean_1 <- log(input$x1) - 0.5*sd_2_ln_1 + 1/(2*input$n1) * sd_2_ln_1; log_mean_2 <- log(input$x2) - 0.5*sd_2_ln_2 + 1/(2*input$n2) * sd_2_ln_2; S_ln <- sqrt((sd_2_ln_1 + sd_2_ln_2)/2) ; vi_second <- (1 / S_ln^2) * ((sd_2_ln_1 / input$n1) + (sd_2_ln_2 / input$n2)) + ((log_mean_1 - log_mean_2)^2 / (8 * S_ln^6)) * ((sd_2_ln_1^2 / input$n1) + (sd_2_ln_2^2 / input$n2)),"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Nakagawa 2026 In Submission,none,"","",1,yes
Z_SD,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,IRIS can use normal distribution or Wishart to do SAFE modelling. Defaults to Wishart unless specified,no,sampling_variance,cv2_1 <- (sd1 / x1)^2; cv2_2 <- (sd2 / x2)^2; li_1 <- log1p(cv2_1); li_2 <- log1p(cv2_2); sd_2_ln_1 <- li_1 - li_1^2 / (2 * (n1 - 1)) + ((li_1 * (li_1 + 2)) / n1) * (x1 / sd1)^2; sd_2_ln_2 <- li_2 - li_2^2 / (2 * (n2 - 1)) + ((li_2 * (li_2 + 2)) / n2) * (x2 / sd2)^2; S_ln <- sqrt((sd_2_ln_1 + sd_2_ln_2)/2); sdln_1 <- sqrt(sd_2_ln_1); sdln_2 <- sqrt(sd_2_ln_2); g1 <- 1 / (2 * sdln_1 * (S_ln)) - (sdln_1 - sdln_2) / (4 * (S_ln)^3); g2 <- 1 / (2 * sdln_2 * (S_ln)) - (sdln_1 - sdln_2) / (4 * (S_ln)^3); vi_second <- ((2*sd_2_ln_1^2) / n1) * g1^2 + ((2*sd_2_ln_2^2) / n2)  * g2^2,vi_second,cv2_1 <- (input$sd1 / input$x1)^2; cv2_2 <- (input$sd2 / input$x2)^2; li_1 <- log1p(cv2_1); li_2 <- log1p(cv2_2); sd_2_ln_1 <- li_1 - li_1^2 / (2 * (input$n1 - 1)) + ((li_1 * (li_1 + 2)) / input$n1) * (input$x1 / input$sd1)^2; sd_2_ln_2 <- li_2 - li_2^2 / (2 * (input$n2 - 1)) + ((li_2 * (li_2 + 2)) / input$n2) * (input$x2 / input$sd2)^2; S_ln <- sqrt((sd_2_ln_1 + sd_2_ln_2)/2); sdln_1 <- sqrt(sd_2_ln_1); sdln_2 <- sqrt(sd_2_ln_2); g1 <- 1 / (2 * sdln_1 * (S_ln)) - (sdln_1 - sdln_2) / (4 * (S_ln)^3); g2 <- 1 / (2 * sdln_2 * (S_ln)) - (sdln_1 - sdln_2) / (4 * (S_ln)^3); vi_second <- ((2*sd_2_ln_1^2) / input$n1) * g1^2 + ((2*sd_2_ln_2^2) / input$n2)  * g2^2,"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Nakagawa 2026 In Submission,none,"","",1,yes
